incorrect predictions:
id, pred, truth
(4, 'U', 'C')
(592, 'U', 'C')
(717, 'U', 'C')
(987, 'U', 'C')
(1236, 'U', 'C')
(3123, 'U', 'C')
(3941, 'U', 'C')
(4187, 'U', 'C')
(4831, 'U', 'C')
(6544, 'U', 'C')
(8193, 'U', 'C')
(8263, 'U', 'C')
(9014, 'U', 'C')
(9425, 'U', 'C')
(9490, 'U', 'C')
(9706, 'U', 'C')
(211, 'U', 'E')
(218, 'U', 'E')
(253, 'U', 'E')
(816, 'U', 'E')
(860, 'U', 'E')
(947, 'U', 'E')
(1190, 'U', 'E')
(1192, 'U', 'E')
(1266, 'U', 'E')
(1333, 'U', 'E')
(1495, 'U', 'E')
(1584, 'U', 'E')
(1690, 'U', 'E')
(1754, 'U', 'E')
(1881, 'U', 'E')
(2058, 'U', 'E')
(2166, 'U', 'E')
(2284, 'U', 'E')
(2286, 'U', 'E')
(2364, 'U', 'E')
(2405, 'U', 'E')
(2557, 'E', 'U')
(2722, 'U', 'E')
(2772, 'U', 'E')
(2791, 'U', 'E')
(2795, 'U', 'E')
(3122, 'U', 'E')
(3250, 'U', 'E')
(3275, 'U', 'E')
(3373, 'U', 'E')
(3536, 'U', 'E')
(3586, 'U', 'E')
(3626, 'U', 'E')
(3670, 'U', 'E')
(3733, 'U', 'E')
(3880, 'U', 'E')
(3909, 'U', 'E')
(4006, 'U', 'E')
(4011, 'U', 'E')
(4066, 'U', 'E')
(4288, 'U', 'E')
(4505, 'U', 'E')
(4734, 'U', 'E')
(5003, 'U', 'E')
(5030, 'U', 'E')
(5110, 'U', 'E')
(5113, 'U', 'E')
(6047, 'U', 'E')
(6287, 'U', 'E')
(6634, 'U', 'E')
(6649, 'U', 'E')
(6705, 'U', 'E')
(6932, 'U', 'E')
(7018, 'U', 'E')
(7093, 'U', 'E')
(7311, 'U', 'E')
(7445, 'U', 'E')
(7466, 'U', 'E')
(7471, 'U', 'E')
(7477, 'U', 'E')
(7546, 'U', 'E')
(7582, 'U', 'E')
(7677, 'U', 'E')
(7889, 'U', 'E')
(8057, 'U', 'E')
(8576, 'U', 'E')
(8633, 'U', 'E')
(8678, 'U', 'E')
(8714, 'U', 'E')
(8786, 'U', 'E')
(9069, 'U', 'E')
(9132, 'U', 'E')
(9136, 'U', 'E')
(9433, 'U', 'E')
(9571, 'U', 'E')
(9584, 'E', 'U')
(9713, 'U', 'E')
(9747, 'U', 'E')
(304, 'C', 'U')
(1177, 'U', 'E')
(1400, 'E', 'U')
(2968, 'C', 'U')
(3747, 'C', 'U')
(5047, 'C', 'U')
(7363, 'ErrorCompareSemCat', 'U')
(7590, 'ErrorCompareSemCat', 'U')
(7726, 'ErrorCompareSemCat', 'U')
(7734, 'ErrorCompareSemCat', 'U')
(7937, 'U', 'C')
